aia_filenames,aia_iso_dates,aia_wavelengths,eve_indices,eve_dates,time_delta
aia_lev1_304a_2012_05_06t00_00_08_12z_image_lev1.fits,2012-05-06 00:00:08+00:00,304a,1059840,2012-05-06 00:00:10+00:00,0 days 00:00:02
aia_lev1_304a_2012_12_02t00_00_07_12z_image_lev1.fits,2012-12-02 00:00:07+00:00,304a,1360440,2012-12-02 00:00:11+00:00,0 days 00:00:04
aia_lev1_193a_2012_12_28t00_00_06_84z_image_lev1.fits,2012-12-28 00:00:06+00:00,193a,1397880,2012-12-28 00:00:08+00:00,0 days 00:00:02
aia_lev1_211a_2011_02_15t00_00_00_62z_image_lev1.fits,2011-02-15 00:00:00+00:00,211a,417600,2011-02-15 00:00:12+00:00,0 days 00:00:12
aia_lev1_211a_2011_02_01t00_00_00_62z_image_lev1.fits,2011-02-01 00:00:00+00:00,211a,397440,2011-02-01 00:00:08+00:00,0 days 00:00:08
aia_lev1_193a_2011_06_23t00_00_07_84z_image_lev1.fits,2011-06-23 00:00:07+00:00,193a,601920,2011-06-23 00:00:05+00:00,0 days 00:00:02
aia_lev1_193a_2012_07_03t00_00_09_22z_image_lev1.fits,2012-07-03 00:00:09+00:00,193a,1143360,2012-07-03 00:00:13+00:00,0 days 00:00:04
aia_lev1_171a_2012_07_06t00_00_11_34z_image_lev1.fits,2012-07-06 00:00:11+00:00,171a,1147680,2012-07-06 00:00:13+00:00,0 days 00:00:02
aia_lev1_193a_2011_05_17t00_00_07_84z_image_lev1.fits,2011-05-17 00:00:07+00:00,193a,548640,2011-05-17 00:00:07+00:00,0 days 00:00:00
aia_lev1_171a_2011_04_13t00_00_00_34z_image_lev1.fits,2011-04-13 00:00:00+00:00,171a,499680,2011-04-13 00:00:08+00:00,0 days 00:00:08
aia_lev1_193a_2011_02_23t00_00_07_84z_image_lev1.fits,2011-02-23 00:00:07+00:00,193a,429120,2011-02-23 00:00:14+00:00,0 days 00:00:07
aia_lev1_304a_2012_07_09t00_00_07_13z_image_lev1.fits,2012-07-09 00:00:07+00:00,304a,1152000,2012-07-09 00:00:14+00:00,0 days 00:00:07
aia_lev1_171a_2012_09_14t00_00_11_35z_image_lev1.fits,2012-09-14 00:00:11+00:00,171a,1246980,2012-09-14 00:00:10+00:00,0 days 00:00:01
aia_lev1_171a_2011_06_11t00_00_00_34z_image_lev1.fits,2011-06-11 00:00:00+00:00,171a,584640,2011-06-11 00:00:13+00:00,0 days 00:00:13
aia_lev1_171a_2012_05_17t00_00_00_34z_image_lev1.fits,2012-05-17 00:00:00+00:00,171a,1075680,2012-05-17 00:00:13+00:00,0 days 00:00:13
aia_lev1_171a_2011_01_08t00_00_00_34z_image_lev1.fits,2011-01-08 00:00:00+00:00,171a,362880,2011-01-08 00:00:12+00:00,0 days 00:00:12
aia_lev1_171a_2012_07_13t00_00_13_41z_image_lev1.fits,2012-07-13 00:00:13+00:00,171a,1157760,2012-07-13 00:00:05+00:00,0 days 00:00:08
aia_lev1_171a_2011_06_26t00_00_00_34z_image_lev1.fits,2011-06-26 00:00:00+00:00,171a,606240,2011-06-26 00:00:06+00:00,0 days 00:00:06
aia_lev1_304a_2012_10_23t00_00_07_12z_image_lev1.fits,2012-10-23 00:00:07+00:00,304a,1302840,2012-10-23 00:00:11+00:00,0 days 00:00:04
aia_lev1_193a_2011_07_01t00_00_07_84z_image_lev1.fits,2011-07-01 00:00:07+00:00,193a,613440,2011-07-01 00:00:07+00:00,0 days 00:00:00
aia_lev1_193a_2012_11_17t00_00_06_84z_image_lev1.fits,2012-11-17 00:00:06+00:00,193a,1338840,2012-11-17 00:00:07+00:00,0 days 00:00:01
aia_lev1_171a_2011_01_02t00_00_00_34z_image_lev1.fits,2011-01-02 00:00:00+00:00,171a,354240,2011-01-02 00:00:10+00:00,0 days 00:00:10
aia_lev1_171a_2012_04_09t00_00_00_35z_image_lev1.fits,2012-04-09 00:00:00+00:00,171a,1020960,2012-04-09 00:00:13+00:00,0 days 00:00:13
aia_lev1_193a_2012_09_06t00_00_06_84z_image_lev1.fits,2012-09-06 00:00:06+00:00,193a,1235460,2012-09-06 00:00:08+00:00,0 days 00:00:02
